month,cost_category,amount
2026-01,salaries,100000
2026-01,tooling,6000
2026-01,overhead_allocation,12000
2026-02,salaries,100000
2026-02,tooling,6000
2026-02,overhead_allocation,12000
2026-03,salaries,122000
2026-03,tooling,6000
2026-03,overhead_allocation,12000
2026-04,salaries,102000
2026-04,tooling,6000
2026-04,overhead_allocation,12000
2026-05,salaries,103000
2026-05,tooling,6000
2026-05,overhead_allocation,12000
2026-06,salaries,104000
2026-06,tooling,6500
2026-06,overhead_allocation,12000
